filename,language,transcription,translation
MEGA 9.2.mp3,ach,ki nyiŋ gilwaŋa ni lakot monika abedo ocuda i vilec ma gilwone ami lobo a ki tuŋ bata gin owek anene litino anyiro atye ka yajon en aye macel pwony tye muremo litinowa pien wan lonyoro kombedci ni wape ki cawa me bedo cok ki litiŋ-nu inoŋo gudiko ipuk i katoya agaco ni latin doŋ gaŋ kimeri nyo ki lagwokone i agikkine doŋo ŋeyo ni medo aye gwaknu lanyotine ma cok kwede doŋ kito kitere kwede ki gaŋ ene doŋ noŋo wek kit kwo enno neno ci dayi agikkine peko duge i kome a ma aryo gin ma neno wacca itye ka kelo pekabe ki litin anyera waeni ma doŋ gineno nigi pitoge en e mito mukato lulaco i kom litino ma megwa-ni myeto mukato lulaconi awaco i kom jami jami mabeco kombeddi dwoŋ  inoŋo giit tye kenyo baŋa mabeco tye kenyo  pete mabeco tye kenyu oloŋgi  ento noŋo in lanyodi ki gaŋ karene pe romo wilo moni ma en mito-ni doŋ tamo ni noŋo myero noŋo en noŋ ki woko pien belo reme tye kwede meno i agittine en doŋ luremmeno ma en doŋ onoŋo-ni e doŋ cwalede peko enone pien ka doŋ ginene pe ramo noŋne ecako bedo ki o lurem ma wobe mogo doŋ cito kwede i we mito i kom lutito madoŋo bedo kwedgi wek inuŋ canne me wilo en boŋa maber anoo giit eno kono loŋ ma ni enoni nenowe ci i agikkine gin mumyero ocul kwede pe culo kikome en doŋ ŋo adukine dugo maraco i kome yaco wakitwo be mogo iye,my name is monika and I was stranded in the village where I grew up and where I grew up and where I grew up and where I grew up and where I grew up and where I grew up and where I grew up and where I grew up and where I grew up and where I grew up and where I grew up and where I grew up and where I grew up and where I grew up and where
MEGA 9.3.mp3,ach,a nyiŋa gilwon onen abedo obiya pien muweko nyiro luyac cwacon e me acel pe giŋeyo yomi gwoko komgi goŋi nigi ma ariyo pwony ki gaŋ peko ma wapalo i ot a ikelo rwutin onyiro keŋ noŋo bedek ubedre ata ki gwok mo ma noŋo wenyo lunyudi muwek  odwato  omi tamo odonian latin ni obedo gwokke kuman man peke kunu kontoolemi i pe ki gaŋ kinan wek te anyito keŋo ki citog gii mallo con anano mukane tye kubedo wan co joga i tyitiyo gi yo meŋo wilo tye nyito ka owilo ci ti kin can ma en ikeloŋo kinyoyac pa nyaka en ocom,my name is Gilwon and I am worried because the first is that they don't know how to take care of their bodies and the second is that they don't know how to deal with the problems we have in the house when they bring the rhinos to the house and they don't know how to take care of the children so that they don't have to go to their homes so that they don't have to go to their homes so that they don
MEGA 12.1.mp3,ach,an nye aneno gladic abedo i limo aneno waye litino ma titino en man ma noŋo gunywalo-ni wek gudokk i gaŋ kwan maber myero koŋ gi gurgi ki minogi tam ki pwonygi pi ŋo ento ma noŋo gi onywale pe noŋo obedo mitagi ci miyo anoŋo gite i wigi mumot mi rwenyo lewic eno ni pwony ma myero gipwonygi ke en aye ni myero pe dog nuŋo gunwoŋo dok gin anne peen bala nyimgi kite gin pud tino kwedene ka gimino gitamo maber ni koŋ doŋ imak kwan ma idoŋ idoko iye-ni pe di i dokke gin caane pe en bala nyimiŋo ci gin niaŋ pe en gin pudgi tino,i have seen gladiators on my visit and I have seen young children who were born in order to go back to school they should be educated and trained for their education but they were not interested in it and they were taught that they should not be ashamed of themselves and that they should not be ashamed of themselves when they are young and they think that they are not ashamed of themselves when they are young and they are not ashamed of themselves when they
MEGA 12.3.mp3,ach,anya amony jenifa abedo lacor yo mu aramo konyo gi lutinowa tye acel keken calo wan lunyoro mu wakato ki i peki mapol we can ci lutinowa ma gicika nywal con ci gitye ka dugo gaŋ ki lutinogi kor calo en ma noŋo gonywal ki skuli an bikwanyo latinna macar lanyoro ci abiketo piny abiwa ineno gin ma doŋ otimme kwe can tye ki latin wannebe pe ka gwokone gin ma myero akonyi ke en imiyo tam nicerimedigi kwan an abigwako latin pa nyaka eyo en myero lewic obed pe doŋocetoci oma akwan o ket cwinye i kwan piene doŋ labolle lanyute doŋ oneno gin marac mitim me kwone cogin ma ara muloko ni gi latinma en ijiŋo cwinye ki waco in i pe ibed ki lewic latin eone  an abigwaka en amino en ocomeki ki kwan en maromo konynye kere amo nyia gilwone acel kene patri a tyey abedo poko ny capkaunti an aye ayom twatwal minenne anoŋo to pi kini peen karaweŋ wan waneno ki lutinowa keno ken i lanye kere talogonoŋo ici tap nuloŋ op pe i komgi wek lewicini okwanyo ki i kom lutin-nini en imiyo acel mito ini do awaco ket ker i kom latin macalo gimo keken ma doŋ tye ka mite pi latin latin i eno-ni myero itim mo macalo in lanyuto peen arom obedo kekete jem ma mitte i ckul in lanyoto itimo yiereweŋe birwenye leb i co ki i koŋe nen ldedone otimo gin noweŋ memone otimo gini nowiŋ ki doŋ skul ka in icero iye bedde ocok ki ki lupwonnye wek olalic in macalo lanyoto ka in bedo cok ki lupwonnye ci lupwonnye bibedo ka tito jem mukene ma oŋeno en kari ciŋiŋo kito keto ribo en bene ki lupwonnya kacel ci inoŋoni gin in birwenyo lewic bak pewa in cako mako kwanne jo kene ma kita in ki miyo labol labol mukene tye makerom omiyone i kom ŋat ma liaŋ gwaknogini be otimme i kome mugobed tye i kin lupwonnye kinu mu gin ma an aŋeyo ni rom otimme pian lapwonye mukene tye ma beg gine otimme i kom i ako bedtyelapwony ka gimiyo labol ma i kom loko enoni ci en nenowa gubedo ŋat odoka lapwony kon yam bed otimi calo an man aye gin ma an aŋeyo,anya amony jenifa am laco yo mu aramo help them our children are the only ones like us the parents we go through a lot of problems we suffer so our children who promise to give birth early and they are going back home with their children like him who has given birth with the school I will take my child to the hospital and I will sit down and see what has happened to my child and I will not be able to help you but I will be able to help you
MEGA 9.1.mp3,ach,aniowu magrec bede i kek gwana gin wumiyo atine i nyero atina obedo tye ayacon obedo peko meŋo tine ocako kwo kengi i ot calo nuototogi pe caka e pakogi pe caka doŋ moyo ŋa ŋa miro okonye en me atin doŋ cako demo caŋo doŋ moŋo ŋa awotte mo ca doŋ konye yec joŋ bene tye man obedo peko ma iŋo otino noŋo tye kakwo ken ye aboŋo totogi aboŋ papogi enicao ka en lutin anyera ni ocakke mwa aparadek pien atin nyaka me mwaŋ apate nu pod pe neno meno i trecan ento atin nyako me mwok aparabek nuŋo cakkene skari me kome dwoŋ no ma neno dwoŋ cako neno cyon ci myero cak wokke kar tye kwede nyodo mere noŋo cako pwonyi kite myero ŋo cakgwo keredo ka nyor i mero pe noŋo kitte aten i rom pwonyere kwede iŋo pe tye,you grew up in a poor neighborhood with a lot of laughter because of the lack of sleep in the house because of the lack of sleep in the house because of the lack of sleep in the house because of the lack of sleep in the house because of the lack of sleep in the house because of the lack of sleep in the house because of the lack of sleep in the house because of the lack of sleep in the house because of the lack of sleep in the house because of
MEGA 12.2.mp3,ach,nyia florence leonat ga aul tok toa laik maidota aweno i latin ginie ni i torido apin nao e ni i ic fomi wek ando atekiŋ ova latinneni in yugoan fenicdic ginene ni ci dok cito kwano aloko kwede mamol pien kit n aloko ki minne kwede wariwane minne paka nio en ditti en aye i cecemuel mumito acak fidiŋ en bene core doŋ ocito yaco i coke ana cud faid pode wer ni timoo wodok eskul pien ana i kanoticer ni a witimo gini kuman in doŋ tuel wid yu wot anebritiŋ ci noŋo e onipati ka pwony noŋo atye ka neko gaŋ aye,florence leonat ga aul tok toa maidota aweno i was a child born in torido apin naoa e i was in my stomach so that i could talk to her son in yugoan fenicdic they saw that she was going to study with him because she talked to her mother until she was old enough she was in cecemuel she wanted to start her own school because she wanted to go to school because she wanted to go to school because
SIMBA 10.4.mp3,lug,jajjawo abaana nga ndimatugga naye abaana kati beetaaga okubuulirirwa n'okkumaakuma abaana tebakyalina mikwano gy'abazadde olw'ensonga abazadde tukola ensonga eyo yeereetedde ddala abaana okubeera nti bafuuka kireereseggwe bovaayo okujja okukola n'omwana n'akwatalirye tewaba awo azza amuddaabiriza kati n'asigala nga ye agenda n'ensi gw'okomawo okumubikkana kumuwa mmere e beetaaga kkumwa kumwana kuddaabiriza na kubuulirirwa,I raised children with a smile but children now need guidance and protection children no longer have parents' friends for the reason parents are doing that cause children are becoming a source of inspiration for you to come and work with the child and take care of it no one is there to repair it now and he keeps going with the world you come back to cover him to give him e they need to feed him to repair the child and compensate him
SIMBA 10.1.mp3,lug,ensowooza yange ku baana bano abato abataninetuukofuna embuto enfuna ya uganda butuufu eserbambye omwana oyo bingi bye yeegomba okuva mu butoo bwe ate byatasobola kwetuusaako bw'afuna munnaawumuw'amagezi nti ekyamazima nze kabboyi kamadde y'akasimu oba kamadde y'akateeteeyi ebintu kati bisusse mu uganda wano ebyegombebw omwana byatasobola kwetuusaakong'ate abazadde nabo bambi bwe beetunulamubamufuna mpola tebasobola kulabirira mwana oyo bintu byayagala ekivaamu omwana akemererwa n'ayagala omulenzi omulenzi naye n'atoba okumksente ate jukira bambi aba tannategeera bigambo bya kufuna famirefulaanyo obakola ky'agenda layibu n'afuna ombuto ekyamazima nzi embadde nsaba bekikwatakooba gavoment ikhuse mumbeeera embeere etunyize nnyo abaana ne tubafaako embeera gw'enyiga gw' omuzadde olina olabirira maama we olina olabirira n'abato kati kano akasuumuseemu bwe kakubulako ne keegulirayo oba akapala obakaki oba tokyabisobola ne keyiiya batuyambe mbuduufu embeera bagikyuseemu etulemyeye,my opinion about these young children who have not got us pregnant the income of uganda has really confused that child a lot of what he desired from his childhood and could not afford when he got a wise partner that the truth is I kabboyi kamade y'akasimu or kamade y'akateteeyi things are now too much in uganda that the child can't afford here that the parents can't afford here that the parents can'
SIMBA 10.3.mp3,lug,amanyi abampita dauda twaha ndawula nera ampangaalira wano ekawembe labe kyandisaanyi okukolebwa baana kubakulizabuli omwana wabeeramu eddiini mu nsi kimuyamba okubeera ng'akola ki wegamba yeetangira ebikolwange ebyoneye kate olnaye oluusi kati mu ggwanga lyaffe wano nga bw'olirabaebyobwononefu bingi ebizzemate abantu betwanditutte ng'abakulembeze nabo ne babiraba ne babeera nga babikola ki babiwagira buwagizia,he knows those who call me dauda weha I distinguish it from my nephew here ekawembe labe it would have been done by children to raise them there is a religion in the world it helps him to be doing what you say he avoids my corrupt actions kate olnaye sometimes now in our country as you will see a lot of corruption that has affected the people we should take as leaders here and they see it and they are doing it what do they support
SIMBA 10.2.mp3,lug,akigezesawo wano ematugga kyenkugamba kiri kimu nti abo gavumenti erina okuteekawo enkola okisegeeraesomese abantu akabyata kale mukko eteekewo netteeka nti omwana okufuna olubutu nga tannawuza myaka kumi na munaana ale mufunisizza kalabba naye musango naye bw'ovutuk ogambe mbubanabba ku bampiso boyonoona kabe kalabbakati owekabakawakanyizibwa bateekewo eteeka nti okukwata obat osibwa emyaka abiri singa ofuniziza omwana olubuto nga tannaba kwetuuka,the only thing we are trying to say is that the government should put in place a system to understand the people who are struggling so the council should establish a law that a child has to get pregnant before the age of eighteen years to get pregnant before the age of eighteen years but it is a crime but if you tell them that they are stealing from the needle they are spoiling the middle of the opposition to put in place a law that arresting
